CHART	TITLE	CATEGORY	SCALE
21010	De Cayenne ao Cabo Gurupi	Costeira	1:1.000.000
21020	De Salinópolis a Fortaleza	Costeira	1:1.000.000
21040	De Natal ao Rio Itariri	Costeira	1:1.000.000
21050	Do Rio Itariri ao Arquipélago dos Abrolhos	Costeira	1:1.000.000
21060	Do Arquipélago dos Abrolhos ao Cabo Frio	Costeira	1:1.000.000
21070	Do Cabo Frio ao Cabo de Santa Marta Grande	Costeira	1:1.000.000
21080	Do Cabo de Santa Marta Grande ao Arroio Chuí	Costeira	1:1.000.000
410	Proximidades da Baía de São Marcos	Aproximação	1:135.000
710	Proximidades do Terminal do Pecém e do Porto de Mucuripe	Aproximação	1:50.000
810	Proximidades do Porto de Natal	Aproximação	1:50.000
930	Proximidades do Porto do Recife	Aproximação	1:100.000
1101	Proximidades do Porto de Salvador	Aproximação	1:29.976
1410	Proximidades dos Portos de Vitória e Tubarão	Aproximação	1:50.000
1506	Proximidades da Baía de Guanabara	Aproximação	1:75.000
1711	Proximidades do Porto de Santos	Aproximação	1:80.000
1820	Proximidades da Barra de Paranaguá	Aproximação	1:100.000
1902	Proximidades da Ilha de Santa Catarina	Aproximação	1:100.928
2110	Proximidades do Porto do Rio Grande	Aproximação	1:50.000
