NAME	LAT	LON	CHARACTERISTIC	DESCRIPTION
Orange	04°25.86' N	51°32.52' W	Lp (2) B.	Torre quadrangular Setor de visibili­
Calçoene	02°30.41' N	50°48.38' W	Lp. B.	Armação quadran­
Guará	01°11.26' N	49°53.97' W	Lp. B.	Armação tronco pi­ Racon Q (– – . –)
Bailique	00°59.40' N	49°56.83' W	Lp. B.	Armação tronco pi­ Racon M (– –)
Ilha do Pará	00°52.80' N	49°59.27' W	Lp (3) B.	Torre quadrangular Racon B (–
Pau Cavado	00°11.51' N	50°47.25' W	Lp. B.	Pau a Pino
Ilha Camaleão	00°09.14' S	48°54.72' W	LpL. B.	Torre tronco pirami­
Simão Grande	00°15.41' S	48°24.19' W	Lp. B.	Armação tronco pi­ Setor de visibi­
Ponta da Tijoca	00°33.44' S	47°53.85' W	Lp (2) B.	Torre quadrangular Setor de visibi­
Taipu	00°39.71' S	48°02.63' W	Lp (3) B.	Torre quadrangular
Ponta Maria	00°46.56' S	48°09.14' W	Lp. B.	Torre quadrangular Setor de visibi­
Soure	00°44.53' S	48°30.37' W	Lp (2) B.	Torre quadrangular
Salvaterra	00°45.16' S	48°30.48' W	Lp. B.	Armação tronco pi­
Curuçá	00°33.88' S	47°45.98' W	Lp (3) B.	Armação em treliça Setor de visibi­
Salinópolis	00°36.93' S	47°21.39' W	Lp. B.	Armação cônica em
Apeú	00°54.62' S	46°11.34' W	Lp (2) B.	Armação tronco pi­
Ponta da Praia	01°10.02' S	45°38.10' W	Lp (5) B.	Torre quadrangular Interferência de
São João	01°16.92' S	44°54.20' W	LpL. B.	Torre cilíndrica de Visibilidade
Mangunça	01°36.92' S	44°39.23' W	Lp. B.	Torre tronco pira­
Pirarema	02°20.29' S	44°21.71' W	Lp. B.	Torre octogonal de
Alcântara	02°24.59' S	44°25.06' W	R (2) B.
São Marcos	02°29.31' S	44°18.12' W	Lp. B.	Torre com metade Radiofarol
Ilha do Medo	02°31.34' S	44°21.92' W	Lp (3) B.	Armação quadran­ Interferência de
Araçagi	02°27.03' S	44°08.90' W	Lp (4) B.	Alinh. Ilha do Pita Posterior
Lençóis Grandes	02°22.78' S	43°16.18' W	LpL. B.	Armação tronco pi­
Preguiças	02°35.55' S	42°42.44' W	Lp. B.	Torre troncônica de
Pontal das	02°53.46' S	41°16.27' W	Lp. B.	Torre cilíndrica de
Jericoacoara	02°47.28' S	40°29.98' W	LpL. B.	Torre quadrangular
Itapajé	02°51.42' S	39°57.48' W	Lp (2) B.	Armação metálica Instalado na torre
Mundaú	03°10.58' S	39°21.72' W	Lp. B.	Torre quadrangular
Paracuru	03°24.02' S	39°00.72' W	Lp. B.	Armação tronco pi­
Mucuripe	03°43.58' S	38°28.30' W	Lp (2) B.	Torre cilíndrica de
Morro Branco	04°09.51' S	38°06.45' W	Lp (5) B.	Torre quadrangular
Aracati	04°24.52' S	37°46.19' W	Lp. B.	Torre cilíndrica de
Ponta Cajuais	04°42.60' S	37°21.66' W	Lp (3) B.	Torre cilíndrica de
Ponta do Mel	04°57.67' S	36°52.60' W	LpL. B.	Torre cilíndrica me- Estação de
Santo Alberto	05°03.14' S	36°02.28' W	Lp (2) B.	Torre hexagonal de
Calcanhar	05°09.65' S	35°29.21' W	Lp. B.	Torre troncônica de Farol aeromarí-
Rata	03°48.76' S	32°23.21' W	Lp. B.	Torre quadrangular Setor de visibi-
São Roque	05°29.32' S	35°15.71' W	Lp (3) B.	Estrutura quadran-
Natal	05°47.71' S	35°11.12' W	Lp (5) B.	Torre troncônica de Setor de visibi-
Ponta da	06°02.70' S	35°06.76' W	Lp (5) B.	Posterior
Bacopari	06°22.47' S	34°59.53' W	Lp (2) B.	Torre octogonal de
Cabo Branco	07°08.96' S	34°47.77' W	Lp. B.	Torre tronco pira-
Ponta de Pedras	07°37.80' S	34°48.72' W	Lp (3) B.	Armação tronco pi-
Olinda	08°00.66' S	34°50.84' W	Lp (2) B.	Torre troncônica de
Santo Agostinho	08°21.09' S	34°56.84' W	Lp. B.	Torre cilíndrica de
Porto de Pedras	09°09.39' S	35°17.89' W	Lp (2) B.	Torre troncônica de
Santa Isabel	10°49.67' S	36°56.10' W	Lp. B.	Torre cilíndrica de
Sergipe	10°58.18' S	37°02.17' W	N/D	Torre quadrangular
São Cristovão	11°07.79' S	37°08.71' W	LpL. B.	Torre quadrangular
Mangue Seco	11°27.77' S	37°21.94' W	Lp. B.	Torre quadrangular
Itariri	11°57.33' S	37°37.34' W	Lp. B.	Torre quadrangular
Subaúma	12°14.38' S	37°46.39' W	Lp. B.	Torre quadrangular
Morro de	13°22.53' S	38°54.92' W	Lp (2) B.	Torre quadrangular
Morro de Taipus	13°57.35' S	38°56.57' W	Lp (3) B.	Torre quadrangular
Ilhéus	14°48.34' S	39°01.54' W	Lp. B.	Torre cilíndrica de Limite sul do
Comandatuba	15°21.11' S	38°58.85' W	Lp (3) B.	Torre quadrangular Exibe no tope luz
Belmonte	15°51.80' S	38°52.60' W	Lp. B.	Armação cônica em
Araripe	16°08.09' S	38°57.86' W	LpL. B.	Torre quadrangular
Barreiras do	17°17.23' S	39°13.31' W	Lp (2) B.	Armação tronco pi-
Nova Viçosa	17°53.65' S	39°22.32' W	LpL. B.	Torre retransmis-
Abrolhos	17°57.85' S	38°41.63' W	Lp. B.	Torre troncônica Racon Q (– –.–)
Suçuraca	19°05.80' S	39°43.38' W	Lp (2) B.	Torre quadrangular
Rio Doce	19°39.07' S	39°49.53' W	Lp. B.	Torre quadrangular
Barra do Riacho	19°50.04' S	40°03.80' W	Lp (2) B.	Torre cilíndrica de
Morro Grande	20°18.15' S	40°18.60' W	Iso. B.	Armação tronco pi- Alinh. “A”
