name	lat	lon	height	range	character	description
Farol de Orange	04°25.86' N	051°32.52' W	50	18	Lp (2) B. 15s	Torre quadrangular Setor de visibili em treliça metálica, dade
Farol de Calçoene	02°30.41' N	050°48.38' W	24	13	Lp. B. 3s	Armação quadran gular em treliça me
Farol de Guará	01°11.26' N	049°53.97' W	44	16	Lp. B. 6s	Armação tronco pi Racon Q (– – . –) ramidal quadran Bandas S e X
Farol de Bailique	00°59.40' N	049°56.83' W	41	14	Lp. B. 10s	Armação tronco pi Racon M (– –) ra midal quadrangu Bandas S e X
Farol de Ilha do Pará	00°52.80' N	049°59.27' W	33	16	Lp (3) B. 10s	Torre quadrangular Racon B (– ...) me tálica em treliça, Bandas S e X BACIA AMAZÔNICA – Rio Amazonas
Farol de Pau Cavado	00°11.51' N	050°47.25' W	47	11	Lp. B. 6s	Armação tronco pi Racon X (_.._) ramidal quadrangu Bandas S e X
Farol de Ilha Camaleão	00°09.14' S	048°54.72' W	37	16	LpL. B. 15s	Torre tronco pirami dal quadrangular
Farol de Simão Grande	00°15.41' S	048°24.19' W	42	16	Lp. B. 5s	Armação tronco pi Setor de visibi rami dal quadrangu lidade
Farol de Ponta da Tijoca	00°33.44' S	047°53.85' W	35	18	Lp (2) B. 10s	Torre quadrangular Setor de visibi em treliça metálica, lidade
Farol de Taipu	00°39.71' S	048°02.63' W	39	16	Lp (3) B. 15s	Armação tronco pi rami dal quadrangu
Farol de Ponta Maria	00°46.56' S	048°09.14' W	42	15	Lp. B. 6s	Torre quadrangular Setor de visibi em treliça metálica lidade
Farol de Soure	00°44.53' S	048°30.37' W	35	16	Lp (2) B. 10s	Torre quadrangular de concreto armado,
Farol de Salvaterra	00°45.16' S	048°30.48' W	14	5	Lp. B. 3s	Armação tronco pi rami dal quadrangu
Farol de Curuçá	00°33.88' S	047°45.98' W	44	18	Lp (3) B. 15s	Armação em treliça Setor de visibi metálica com faixas lidade
Farol de Salinópolis	00°36.93' S	047°21.39' W	61	46	Lp. B. 6s	Armação cônica em tre liça metálica com
Farol de Apeú	00°54.62' S	046°11.34' W	41	15	Lp (2) B. 15s	Armação tronco pi rami dal quadrangu
Farol de Ponta da Praia	01°10.02' S	045°38.10' W	48	24	Lp (5) B. 60s	Torre quadrangular me tálica em treliça,
Farol de São João	01°16.92' S	044°54.20' W	38	20	LpL. B. 10s	Torre cilíndrica de Visibilidade concreto armado, obscurecida
Farol de Mangunça	01°36.92' S	044°39.23' W	46	28	Lp. B. 10s	Torre tronco pira midal quadrangular
Farol de Pirarema	02°20.29' S	044°21.71' W	55	20	Lp. B. 6s	Torre octogonal de alvenaria revestida
Farol de Alcântara	02°24.59' S	044°25.06' W	38	10	R (2) B. 6s	Tubo metálico, bran co
Farol de São Marcos	02°29.31' S	044°18.12' W	36	23	Lp. B. 10s	Torre com metade Radiofarol quadrangular e outra
Farol de Ilha do Medo	02°31.34' S	044°21.92' W	60	25	Lp (3) B. 15s	Armação quadran Interferência de gu lar em treliça luzes de fundo
Farol de Araçagi	02°27.03' S	044°08.90' W	91	33	Lp (4) B. 10s	Torre tronco pira midal quadrangular
Farol de Lençóis Grandes	02°22.78' S	043°16.18' W	72	17	LpL. B. 15s	Armação tronco pi rami dal quadrangu
Farol de Preguiças	02°35.55' S	042°42.44' W	46	43	Lp. B. 3s	Torre troncônica de concreto armado,
Farol de Pontal das	02°53.46' S	041°16.27' W	28	16	Lp. B. 10s	Torre cilíndrica de fibra de vidro, bran
Farol de Jericoacoara	02°47.28' S	040°29.98' W	101	19	LpL. B. 10s	Torre quadrangular de concreto armado,
Farol de Itapajé	02°51.42' S	039°57.48' W	67	20	Lp (2) B. 15s	Armação metálica Instalado na torre cônica branca, com de um aeroge
Farol de Mundaú	03°10.58' S	039°21.72' W	33	14	Lp. B. 3s	Torre quadrangular de concreto armado,
Farol de Paracuru	03°24.02' S	039°00.72' W	80	27	Lp. B. 10s	Armação tronco pi rami dal quadrangu
Farol de Mucuripe	03°43.58' S	038°28.30' W	134	43	Lp (2) B. 10s	Torre cilíndrica de alvenaria, com fai-
Farol de Morro Branco	04°09.51' S	038°06.45' W	107	24	Lp (5) B. 60s	Torre quadrangular em alvenaria, branca
Farol de Aracati	04°24.52' S	037°46.19' W	34	14	Lp. B. 6s	Torre cilíndrica de alvenaria sobre uma
Farol de Ponta Cajuais	04°42.60' S	037°21.66' W	64	19	Lp (3) B. 15s	Torre cilíndrica de fibra de vidro, com
Farol de Ponta do Mel	04°57.67' S	036°52.60' W	106	41	LpL. B. 30s	Torre cilíndrica me- Estação de tálica envolvida por radiocomunicação
Farol de Santo Alberto	05°03.14' S	036°02.28' W	42	20	Lp (2) B. 15s	Torre hexagonal de concreto armado, en-
Farol de Calcanhar	05°09.65' S	035°29.21' W	74	38	Lp. B. 10s	Torre troncônica de Farol aeromarí- concreto armado, timo Radiofarol
Farol de Rata	03°48.76' S	032°23.21' W	63	16	Lp. B. 15s	Torre quadrangular Setor de visibi- de alvenaria, branca lidade
Farol de São Roque	05°29.32' S	035°15.71' W	50	21	Lp (3) B. 10s	Estrutura quadran- gular de vigas de
