VESSEL	IMO
ARCIMBALDO	9602198
ARTHUR	9709556
BERNARD	9611527
BRUCUTU	9555931
CAILLEAN	9209609
GODOFREDO	9639012
HUGO	9685578
HÉLIO FERRAZ I	9556002
IMPERATRIZ I	9330331
ITABIRA	9555929
LANCELOT	9709568
PELAGIUS	9209611
PHILLIPE	9685566
RENAUD	9639024
SAAM AIMORÉ	9806366
SAAM ALDEBARAN	9671709
SAAM ALPHA	9876878
SAAM ALTAIR	9718272
SAAM ALYA	9869772
SAAM ANTARES	9555876
SAAM ARANÃ	9828572
SAAM ARARA	9828560
SAAM ARIES	9718284
SAAM ARUÁ	9806378
SAAM CAIAPÓ	9457426
SAAM CANINDÉ	9457414
SAAM CANIS	9869760
SAAM CARAJÁ	9457488
SAAM CARCARÁ	9946221
SAAM CARIPUNA	9457476
SAAM CETUS	9555814
SAAM CHARRUA	9457440
SAAM CHILE	9746865
SAAM CRAÓ	9457438
SAAM CRUX	9876866
SAAM ELECTRA	9876842
SAAM FALCÃO	9946192
SAAM GAVIÃO	9946219
SAAM HOLANDA	9746877
SAAM IZAR	9876725
SAAM MIRA	9876763
SAAM ORION	9603441
SAAM PAITER	9668697
SAAM PANARÁ	9668673
SAAM PARECI	9668661
SAAM PARINTINS	9668702
SAAM PATAXÓ	9668659
SAAM PEGASUS	9603673
SAAM POTIGUAR	9668685
SAAM SIRIUS	9592159
SAAM TAMOIO	9457335
SAAM TAPAJÓ	9457323
SAAM TAPEBA	9457361
SAAM TARIANA	9457347
SAAM TERENA	9449144
SAAM TIAKI	9876854
SAAM TICUNA	9449132
SAAM TORÁ	9449091
SAAM TUCANO	9449156
SAAM TUPARI	9457359
SAAM TUPI	9449077
SAAM TUPINAMBÁ	9457373
SAAM TUXÁ	9449089
SAAM ÁGUIA	9946207
STAR SAGITARIUS	9671694
SULIS	9209623
TIMBOPEBA	9555979
